idaddress,street_name,street_number,postal_code,country,city
5YP4T9A8,Hollow Ridge,3,17670,China,Lizhai
2AV4S6Z7,Talisman,34,37305,Portugal,Bombarral
1HX2H6W0,Stoughton,24283,86470,Philippines,BaÃ±ga
7LX2O8J8,American,1,89623,Mexico,Buenavista
1QO4T4B9,La Follette,2526,20225,Poland,MÄ™tkÃ³w
4UV0Z9J5,Mccormick,57,81622,Indonesia,Sumberpitu
3XG1C6I2,Main,7,94723,Portugal,Laveiras
7IU6P6B3,Forster,79,63520,Colombia,Zaragoza
7EG0Z3V0,Kinsman,66,36705,Democratic Republic of the Congo,Bolobo
9QK6U5F8,Packers,16240,36204,Philippines,Santa Monica
4PV5R5M9,Pleasure,46315,65286,China,Luobei
4RU8F6I4,Waywood,13,89231,Brazil,Paraty
5RE3Y2B3,Paget,72279,72808,Ukraine,Bilozerka
3VU8O9H6,Luster,3140,46573,United States,Houston
4SW2U8Y0,Becker,4030,65315,France,Sarlat-la-CanÃ©da
4VZ8W8Q0,Pankratz,337,36864,China,Nancha
8VB0B5F8,Grover,73975,43544,Kenya,Butere
4GJ5Q4C4,Springview,58056,89330,Portugal,Belverde
5GC6Y2V5,Burning Wood,685,64093,Philippines,Calape
3JE5O1I4,High Crossing,8,83391,Indonesia,Gasri
9PJ2Q5D7,Talmadge,850,447,Russia,Dukhovnitskoye
6SR7K0Q5,Surrey,4,69066,United States,Houston
2IO7G0G0,Butterfield,2,19693,Croatia,Gradac
9JR3A2V9,Waywood,4,86524,Indonesia,Sidomulyo
7WM7Z2K4,Gulseth,108,44181,China,Xiangxiang
1PJ8Q3D4,David,78468,34381,Sweden,Trelleborg
1BX5W2K4,Birchwood,93350,74073,Sweden,Halmstad
5IX6T2N1,4th,7338,39871,China,Xiqi
5SO7N4B8,Golf View,1766,27996,Sweden,Tanumshede
5PE7F1U5,Merchant,6276,95252,Philippines,Tucuran
3ES3G1V1,Bunker Hill,1,77907,Poland,WrzeÅ›nia
6FK4V2M3,Knutson,9,67721,China,Wufeng
4VY9A6Y0,Bluestem,89,41533,Iran,ZanjÄn
7YY0D1T8,Daystar,9780,10841,Russia,Mendeleyevsk
