idinsurance,start_date,end_date,contract_cost,car_vin,idincat,contract_code
FLC848229EMA,4/14/2017,4/14/2022,"â‚¬1011,33",2C3CCAHG5CH454910,VLT096591EPY1965,27402959
JJW976702ROF,5/9/2020,5/9/2022,"â‚¬944,89",1G6D05EG6A0391261,UNW803916OWG9309,69127949
FFV015803YZV,1/15/2015,1/15/2023,"â‚¬553,17",WBAUN7C51BV924601,BGQ245059FNT1338,21853912
CXJ865975JHG,5/1/2013,5/1/2016,"â‚¬730,46",JN1CV6AR4FM728682,NLC139311DTW1400,82722718
JAS728683ZCL,9/7/2019,9/7/2024,"â‚¬536,01",WBASN2C54BC467000,BXY998897QCV2090,66372504
LOQ977872UVQ,7/30/2010,7/30/2019,"â‚¬1747,49",1N6AD0CU7BC571295,NRV735338SFC0267,96340478
ZGO211013UET,9/2/2020,9/2/2030,"â‚¬366,89",WUAW2AFC4FN808894,CCI074895MKV8141,3110153
QPY440634RBB,8/4/2018,8/4/2024,"â‚¬1393,08",WBADT63491C996826,QND104346NAY2488,60824153
LEV245797JXD,2/11/2018,2/11/2026,"â‚¬1074,92",3GYT4MEF0BG197444,EHG025651FKD0237,49883751
TDR790764EGD,2/8/2017,2/8/2027,"â‚¬526,82",WAUWGBFC3EN933319,YTR338241PEX8775,80957312
QON222231EQL,8/26/2011,8/26/2018,"â‚¬1056,81",2T1BURHE3EC934023,LVI499795NHS9863,94723176
JIT640912HVP,12/1/2020,12/1/2029,"â‚¬717,74",1G6DN57U260360357,FDB997559EMB4618,32021207
FAR677737WVY,7/16/2012,7/16/2020,"â‚¬1284,87",WBABN33473J969736,NLY270328RAT7118,71551553
GAE517173SNV,12/15/2014,12/15/2016,"â‚¬240,44",SCBBP9ZA3CC332198,OJK774113FWW1500,68641474
DVN734124BLM,3/1/2013,3/1/2017,"â‚¬1752,13",1FMCU4K3XAK999967,KJH386907XRD0327,27583337
YWO305694XHD,11/28/2016,11/28/2024,"â‚¬882,46",WAUCFAFRXCA910077,KOL591158OKZ1796,19100256
XHG516210LZP,4/3/2014,4/3/2018,"â‚¬887,19",1G6AF5S38E0399791,ZLB678751JND5112,82756385
SKI129972NXC,8/25/2019,8/25/2023,"â‚¬1451,71",3C6TD5PT8CG619404,LOB743339XYE6311,56720733
KZE926871EZR,11/28/2014,11/28/2023,"â‚¬1285,49",WAUAFAFL8FA825052,TPM345699OAN2453,579560
GAD167559PBN,10/2/2011,10/2/2018,"â‚¬1241,56",1VWAP7A34EC613601,YEO023606VMS7334,92114612
CXJ293909RGZ,3/29/2020,3/29/2026,"â‚¬1667,97",19UUA8F26CA566993,WIK735892FGW0779,13359359
ACV528538SXE,8/24/2013,8/24/2014,"â‚¬1586,96",WA1YL64B45N126861,NPC398669QNP6541,28804265
EVM952222EGU,3/19/2011,3/19/2015,"â‚¬1461,34",WAUHF98P38A811799,TZN401859EQS5810,750724
BWW267269UZV,5/3/2013,5/3/2018,"â‚¬325,56",WA1BY74L57D014195,DEC534961FCM7641,46803010
YJC933861DDJ,4/4/2018,4/4/2023,"â‚¬1816,81",3GTU2YEJ1BG397017,MVF235038KHC6714,98816141
VWC982026FQH,11/18/2012,11/18/2015,"â‚¬1861,88",WAUAF78E56A987450,YZW985466XFP4521,42078246
ADD961240NJS,11/15/2015,11/15/2019,"â‚¬1281,62",4USBU33546L488909,SSP496918HTI6395,70696851
DQZ342655NQY,11/18/2020,11/18/2022,"â‚¬579,22",WBA1K5C51FV072417,ATT514996WZS0669,78209711
EQG128771ZPI,10/8/2013,10/8/2022,"â‚¬1547,91",WAULFAFR2CA891962,DMA508541DUF3519,73373529
GKH517732KSB,3/10/2017,3/10/2025,"â‚¬313,19",WAUJ2AFD5FN439234,THT301606RBU6062,74665275
RCS297552GWB,9/27/2019,9/27/2024,"â‚¬1282,47",YV1612FH7E2901548,YCC212472YCY3097,9440722
DWO244878AFH,11/12/2012,11/12/2015,"â‚¬967,57",WBAVS13508F116656,DWQ468019FFI3137,97961190
VUI555534FMW,10/20/2011,10/20/2020,"â‚¬1664,52",SCBBP93W79C199684,DGK965887HKV0466,55665668
DXJ757332FMI,3/22/2015,3/22/2016,"â‚¬1903,04",1N6AA0EC6DN551625,AWL135634MOI4396,47646426
XXI210810PMW,3/27/2011,3/27/2018,"â‚¬763,83",SAJWA1CZXE8740799,IPY677862GTC4812,51570743
VVF330591RGV,2/12/2012,2/12/2017,"â‚¬258,81",1G4GE5GVXAF971726,SMI406585HPP2771,9515570
DIA315038XCD,9/20/2017,9/20/2027,"â‚¬1728,01",19UUA65605A183093,XFM212738SEY5249,14899959
CRG842580CKB,6/5/2014,6/5/2023,"â‚¬1841,88",2HNYD2H64DH121783,HYI607239MDV6115,41633187
YML485330KUN,11/14/2018,11/14/2022,"â‚¬1559,73",WBAPT7C5XAC071175,KZX154809GXI5749,50336287
WPZ813639ZEA,12/1/2011,12/1/2018,"â‚¬990,39",WBALL5C51DE404553,JOY197454PNM5250,90633823
GFK619534BCU,8/17/2018,8/17/2025,"â‚¬1060,64",2G61N5S38D9511352,BVS591561WTN5172,98112213
PBU672427STI,11/8/2013,11/8/2016,"â‚¬921,85",3VW507AT7EM010601,BEM816925PFE3882,45872210
PYT859325VQQ,2/17/2019,2/17/2024,"â‚¬486,85",3N1AB7AP1FY273663,IKZ131328SMV0910,89761235
UCX078535HBZ,12/24/2017,12/24/2026,"â‚¬393,98",WBAHN83568D078293,WBE658637NQL9995,63408132
DXB027936TQV,10/20/2016,10/20/2020,"â‚¬375,39",3C6JD6CT8CG891129,AMJ648335PUR7984,17985764
ZDM671167TDR,9/13/2016,9/13/2019,"â‚¬667,35",WAU3MAFD9FN143815,YTG075248HGE2710,58810921
SDG621278OOB,9/30/2010,9/30/2013,"â‚¬244,15",3GYFNFEY1BS783610,SQY852383NFY2529,95270982
DTH604782FNE,11/21/2019,11/21/2025,"â‚¬783,96",KMHHT6KD8BU786666,WTB884245LKX4625,12250092
FLZ944611SFY,5/20/2021,5/20/2031,"â‚¬1945,08",TRUUT28N721395141,NZJ297048WNR5637,30736100
QXT250469FMN,4/5/2021,4/5/2030,"â‚¬941,21",1G6DB8E52E0875007,ECN190016ZFL9643,18881887
EZL910691XLI,2/18/2011,2/18/2019,"â‚¬1336,92",1FBAX2CM6FK042486,TTB958392GAW7411,97855544
WOB246037MMH,7/9/2018,7/9/2021,"â‚¬1355,49",5GAKRBEDXBJ447228,IRK380733OOQ7062,24087794
EGB261445FOW,10/13/2014,10/13/2021,"â‚¬1220,37",ZHWGU5BZ8CL203305,TTG244667GCO6497,24295894
MPB567600AMG,2/28/2020,2/28/2021,"â‚¬638,05",WAUAFAFH4AN909401,GZM443837TLF8108,55276953
JUF811209JWK,10/19/2019,10/19/2022,"â‚¬1786,00",WAULT68E24A316908,IFC198420BXG2501,36593078
CPI937266QQB,1/23/2014,1/23/2019,"â‚¬1207,11",JN1AZ4EH5BM926392,IWT226122HKK6760,81236160
VZE476527AFF,10/26/2015,10/26/2024,"â‚¬1610,57",JTHDU1EF0E5128806,DPZ506426ITG8131,89269234
YQB564177PCZ,3/6/2014,3/6/2020,"â‚¬1374,96",1GYFK46898R851417,HUR431407LCE4391,11814231
WAM476192PWC,8/23/2010,8/23/2014,"â‚¬1357,67",JH4CL958X7C560803,MVD104451KXD2202,12362511
EDW687974QUG,8/1/2014,8/1/2017,"â‚¬1140,70",SCBDP3ZA5AC856374,NOG150528ULJ8050,14208027
CQP966165OAC,8/26/2019,8/26/2029,"â‚¬579,25",2D4RN6DX1AR311336,KSN945848WFO2508,34727115
ASO294403FMJ,10/3/2011,10/3/2021,"â‚¬905,20",3CZRE3H31AG297103,HXG302397PSM3991,50072457
FTL339724RSJ,7/29/2015,7/29/2018,"â‚¬1887,78",3D73Y3HL3BG898572,LKA042976UOX9174,22123121
MSI884207QYZ,5/1/2013,5/1/2020,"â‚¬1616,87",19VDE3F74DE090218,VDG691300GFT7968,40700878
TRQ203779NSQ,10/9/2017,10/9/2023,"â‚¬368,28",WAUHFAFLXCA139699,NQK719222ICX2228,48946432
BGR675941KHY,7/5/2011,7/5/2019,"â‚¬1629,85",3D4PH7FG6BT554544,CBL228906TET6588,44972974
PUG531377NUB,2/18/2019,2/18/2020,"â‚¬1349,24",WBAFU9C52DD184492,BFR749500NNM9818,89570437
