idviolations,violation_date_time,violation_description,violation_time
8YG98X297K,7/19/2012,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,10:27 PM
7KL43G980M,12/31/2006,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,12:32 AM
5KD96M760Z,4/12/2010,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,1:12 AM
8WO72Q581Z,8/18/2008,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,10:56 PM
4ZJ06I958I,8/13/2010,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,1:31 PM
4JP33J166S,9/9/2011,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,7:28 PM
0QN29D374P,7/5/2015,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,3:41 PM
8ZU53R065U,2/1/2014,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,10:18 PM
7MC08F759Y,5/15/2017,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,2:21 AM
2NB69K063U,11/26/2011,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,6:07 AM
2PC89X773F,7/22/2011,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,3:24 PM
7LF81H785K,3/26/2015,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,9:28 PM
5TR51Y512W,1/22/2016,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,1:24 PM
8CV50K484Q,10/31/2008,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,4:08 PM
8GH25T987U,9/14/2019,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,12:28 PM
4TW52H238J,12/29/2012,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,9:44 PM
1IR14J061A,5/5/2015,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,5:03 PM
8RM51U171O,7/22/2006,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,11:58 PM
0ZF06Y227Y,7/7/2011,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,7:20 PM
1LV50L996N,7/23/2011,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,4:21 AM
1HW78F485H,3/17/2015,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,5:35 AM
5JS84M554W,8/27/2008,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,11:24 PM
0XA64T931T,7/4/2011,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,10:24 AM
1PZ41B163O,4/8/2017,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,5:04 AM
3ZX55L718T,8/22/2015,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,5:23 AM
2FZ72C410Z,5/11/2011,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,6:47 AM
5UY29U415A,8/19/2010,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,7:44 AM
0DG09G811H,10/24/2017,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,11:50 AM
7SJ31W098Z,3/2/2009,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,10:34 PM
4YV44L401R,7/20/2009,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1:00 PM
0XG90T281M,3/31/2011,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,11:36 PM
0YS59Y641B,11/26/2010,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,9:40 AM
4US07M236N,4/13/2016,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,5:46 PM
9LH86Q436T,1/4/2009,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,2:41 AM
4UW04Y093X,3/29/2007,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,11:47 AM
5EH52H833Q,3/5/2007,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,10:24 AM
3FU23W632A,3/11/2014,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,4:29 PM
8AC72Z287Z,11/16/2011,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,1:58 PM
8UT83U750Q,3/22/2012,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,10:37 PM
4PB14O348P,4/22/2016,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,1:42 AM
1QD80S575F,6/5/2010,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,2:49 AM
8JZ00H159J,1/7/2012,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,5:35 AM
3FB65O107J,9/28/2011,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,4:20 PM
7AE09F404M,3/25/2011,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,4:59 AM
8LL21Z942E,11/25/2008,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,1:28 PM
3SX17S951G,2/1/2010,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,6:01 AM
5JF56K779D,4/30/2011,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,5:54 PM
9LD60Y904L,5/17/2017,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,7:46 AM
4XR09H883B,4/24/2006,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,1:30 PM
0EL90Y278E,8/30/2007,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,4:25 PM
1WX05E688X,1/20/2018,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,4:09 AM
5XM18W389R,4/29/2011,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,11:36 PM
